room_rate_record_id,room_name,room_size_sqm,starting_price_php,availability_note,search_id,check_in_date,check_out_date,day_type,number_of_nights,number_of_rooms,number_of_adults,number_of_children,currency,rate_display_type,tax_status,booking_url,collection_timestamp,verification_method,rate_plan_name,rate_plan_price_php,breakfast_included,cancellation_policy,room_size_note,cancellation_window_days,modification_allowed,payment_requirement,late_cancellation_penalty,check_in_time,check_out_time,children_policy,rate_inclusions,rate_details_text
1,Superior King,29.0,11900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,11900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
2,Superior Twin,29.0,11900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,11900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
3,Deluxe King,34.0,12900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,12900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
4,Deluxe Queen,34.0,12900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,12900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
5,Deluxe Twin,34.0,12900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,12900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
6,Deluxe Mountain,29.0,11900,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,11900,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
7,Ridge,37.0,17500,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,17500,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
8,Premier Queen,38.0,20000,,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,20000,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
9,Deluxe Suite One Bedroom,62.0,23100,Only 2 left,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,23100,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 2 adults and 2 children aged 12 years and below | Breakfast for 2 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
10,Deluxe Suite Mountain Two Bedroom,92.0,33357,Only 2 left,1,2026-09-14,2026-09-15,Weekday,1,1,2,0,PHP,Starting from,Taxes included,https://www.simplebooking.it/ibe2/hotel/6757?lang=EN&cur=PHP&guests=A%2CA&in=2026-09-14&out=2026-09-15,2026-09-02T16:56:27+02:00,Manual visual verification,Best Available Rate,33357,True,Free cancellation or modification until 7 days before arrival,,7,True,"Reservation guarantee required through credit card, cash payment, or bank deposit",One room night,2:00 PM,11:00 AM,Children 12 years and below may share existing bedding. Children 0 to 5 receive complimentary breakfast. Children 6 to 12 receive 50 percent off the buffet breakfast rate.,Overnight stay for 4 adults and 2 children aged 12 years and below | Breakfast for 4 adults and 2 children aged 5 years and below | Hotel facilities | WiFi | 1 parking slot,
